company,ticker,event_date
AAON INC,AAON,2020-05-12
AAR CORP,AAR,2018-05-31
ADT CORP,ADT,2016-05-02
AES CORP,AES,2011-09-30
AMGEN INC,AMGEN,2012-05-23
ANN INC,ANN,2015-08-21
AOL INC,AOL,2018-10-01
ASGN INC,ASGN,2019-04-30
ATMI INC,ATMI,2014-04-30
AVX CORP,AVX,2015-03-31
AZZ INC,AZZ,2013-10-27
BALL CORP,BALL,2011-01-26
CA INC,CA,2018-07-01
CBS CORP,CBS,2018-09-09
CDI CORP,CDI,2016-09-16
CDW CORP,CDW,2018-12-31
CEB INC,CEB,2017-01-05
COHU INC,COHU,2014-12-28
COTY INC,COTY,2020-06-01
CPI CORP,CPI,2012-02-09
CRANE CO,CRANE,2014-01-31
CRAY INC,CRAY,2019-09-25
CREE INC,CREE,2017-09-27
CSRA INC,CSRA,2018-03-04
CSX CORP,CSX,2017-12-16
CTS CORP,CTS,2013-01-07
DPL INC,DPL,2011-01-01
DSW INC,DSW,2015-12-31
EBAY INC,EBAY,2015-01-01
EQT CORP,EQT,2019-07-10
ETSY INC,ETSY,2017-05-31
EXAR CORP,EXAR,2015-10-20
FEI CO,FEI,2016-09-21
FMC CORP,FMC,2010-01-01
GAP INC,GAP,2015-01-01
GGP INC,GGP,2018-08-28
GMS INC,GMS,2019-08-02
HFF INC,HFF,2019-07-01
HNI CORP,HNI,2018-06-28
HP INC,HP,2011-01-01
HSN INC,HSN,2017-05-24
IDEX CORP,IDEX,2011-08-10
ILG INC,ILG,2018-09-01
ITT INC,ITT,2018-12-31
KBR INC,KBR,2014-06-02
KLX INC,KLX,2018-09-10
LKQ CORP,LKQ,2017-03-01
LSI CORP,LSI,2014-05-06
MBIA INC,MBIA,2017-09-15
NBTY INC,NBTY,2017-09-28
NCI INC,NCI,2016-10-31
NCR CORP,NCR,2018-04-30
PALL CORP,PALL,2015-08-31
PALM INC,PALM,2010-04-28
PHH CORP,PHH,2018-02-27
POOL CORP,POOL,2018-12-31
PPL CORP,PPL,2011-11-17
PTC INC,PTC,2010-10-01
RH,RH,2013-01-31
SLM CORP,SLM,2014-04-30
SPIRE INC,SPIRE,2012-01-01
SPX CORP,SPX,2015-09-14
TEAM INC,TEAM,2017-12-01
THQ INC,THQ,2013-01-30
TIME INC,TIME,2016-09-12
TIVO CORP,TIVO,2018-07-05
TORO CO,TORO,2016-10-31
TREX CO INC,TREX,2015-08-17
UGI CORP,UGI,2013-04-01
URS CORP,URS,2014-10-17
USG CORP,USG,2019-04-24
VCA INC,VCA,2017-01-09
VF CORP,VF,2016-12-31
VIAD CORP,VIAD,2014-12-03
WEX INC,WEX,2013-12-01
XOMA CORP,XOMA,2016-12-21
ZEP INC,ZEP,2015-06-26
ZIX CORP,ZIX,2016-01-19
